Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Disease,Prescription 1,Prescription 2,Prescription 3
fever,rash,cough,shortness of breath,sneezing,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,vomiting,chills,sore throat,nausea,Malaria,Chloroquine,Artemether,Primaquine
shortness of breath,cough,loss of appetite,fever,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,congestion,cough,body ache,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,runny nose,headache,joint pain,congestion,Sinusitis,N/A,N/A,N/A
headache,blurred vision,vomiting,joint pain,nausea,Migraine,N/A,N/A,N/A
loss of appetite,fever,vomiting,fatigue,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
joint pain,rash,headache,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,fever,diarrhea,nausea,,Gastroenteritis,N/A,N/A,N/A
loss of appetite,fever,fatigue,cough,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,body ache,chills,fatigue,headache,Influenza,N/A,N/A,N/A
body ache,vomiting,chills,fever,joint pain,Malaria,Chloroquine,Artemether,Primaquine
headache,fever,joint pain,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fatigue,shortness of breath,fever,cough,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
dizziness,nausea,blurred vision,vomiting,headache,Migraine,N/A,N/A,N/A
blurred vision,vomiting,runny nose,nausea,loss of appetite,Migraine,N/A,N/A,N/A
chills,blurred vision,body ache,headache,fever,Influenza,N/A,N/A,N/A
sneezing,runny nose,congestion,sore throat,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,body ache,blurred vision,sneezing,nausea,Migraine,N/A,N/A,N/A
joint pain,rash,vomiting,fever,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,chest pain,body ache,headache,blurred vision,Migraine,N/A,N/A,N/A
chills,body ache,fatigue,headache,fever,Influenza,N/A,N/A,N/A
fever,nausea,vomiting,body ache,chills,Malaria,Chloroquine,Artemether,Primaquine
headache,runny nose,sore throat,congestion,,Sinusitis,N/A,N/A,N/A
sore throat,headache,runny nose,congestion,,Sinusitis,N/A,N/A,N/A
runny nose,sore throat,congestion,itchy eyes,sneezing,Allergic Rhinitis,N/A,N/A,N/A
headache,fatigue,body ache,fever,chills,Influenza,N/A,N/A,N/A
sore throat,congestion,headache,runny nose,,Sinusitis,N/A,N/A,N/A
shortness of breath,cough,fever,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fatigue,congestion,chills,body ache,fever,Influenza,N/A,N/A,N/A
cough,headache,loss of appetite,fatigue,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,blurred vision,headache,vomiting,diarrhea,Migraine,N/A,N/A,N/A
shortness of breath,cough,fever,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
cough,chills,headache,body ache,fever,Influenza,N/A,N/A,N/A
vomiting,headache,fever,chills,body ache,Malaria,Chloroquine,Artemether,Primaquine
nausea,blurred vision,runny nose,vomiting,fatigue,Migraine,N/A,N/A,N/A
shortness of breath,loss of appetite,cough,chills,joint pain,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
chest pain,fever,shortness of breath,fatigue,cough,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,sneezing,itchy eyes,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
fever,nausea,rash,joint pain,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
joint pain,fever,rash,headache,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
diarrhea,sneezing,congestion,itchy eyes,runny nose,Allergic Rhinitis,N/A,N/A,N/A
runny nose,headache,sore throat,sneezing,congestion,Sinusitis,N/A,N/A,N/A
loss of appetite,fatigue,cough,shortness of breath,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
joint pain,rash,body ache,headache,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,diarrhea,vomiting,fever,headache,Gastroenteritis,N/A,N/A,N/A
itchy eyes,runny nose,congestion,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
vomiting,rash,fever,body ache,nausea,Gastroenteritis,N/A,N/A,N/A
itchy eyes,fatigue,sneezing,congestion,runny nose,Allergic Rhinitis,N/A,N/A,N/A
fever,rash,joint pain,nausea,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
joint pain,nausea,fever,rash,dizziness,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,body ache,nausea,vomiting,headache,Malaria,Chloroquine,Artemether,Primaquine
dizziness,joint pain,chills,fever,nausea,Malaria,Chloroquine,Artemether,Primaquine
vomiting,headache,nausea,fever,diarrhea,Gastroenteritis,N/A,N/A,N/A
nausea,vomiting,fever,blurred vision,chills,Malaria,Chloroquine,Artemether,Primaquine
sore throat,congestion,runny nose,headache,chills,Sinusitis,N/A,N/A,N/A
fever,fatigue,cough,body ache,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sore throat,runny nose,congestion,headache,,Sinusitis,N/A,N/A,N/A
chest pain,shortness of breath,cough,fever,sore throat,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
nausea,vomiting,headache,blurred vision,,Migraine,N/A,N/A,N/A
nausea,vomiting,congestion,blurred vision,headache,Migraine,N/A,N/A,N/A
congestion,fatigue,itchy eyes,runny nose,sneezing,Allergic Rhinitis,N/A,N/A,N/A
shortness of breath,fever,cough,chills,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,sore throat,congestion,runny nose,,Sinusitis,N/A,N/A,N/A
fatigue,loss of appetite,chest pain,shortness of breath,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,congestion,headache,chills,body ache,Influenza,N/A,N/A,N/A
chest pain,fever,headache,body ache,fatigue,Influenza,N/A,N/A,N/A
headache,joint pain,fever,blurred vision,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,diarrhea,fever,nausea,,Gastroenteritis,N/A,N/A,N/A
diarrhea,itchy eyes,congestion,sneezing,runny nose,Allergic Rhinitis,N/A,N/A,N/A
body ache,chills,vomiting,fever,nausea,Malaria,Chloroquine,Artemether,Primaquine
loss of appetite,cough,fever,shortness of breath,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
rash,joint pain,headache,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sneezing,itchy eyes,congestion,runny nose,headache,Allergic Rhinitis,N/A,N/A,N/A
chills,body ache,chest pain,headache,fever,Influenza,N/A,N/A,N/A
runny nose,itchy eyes,joint pain,rash,sneezing,Allergic Rhinitis,N/A,N/A,N/A
headache,congestion,sore throat,runny nose,,Sinusitis,N/A,N/A,N/A
body ache,fatigue,chills,headache,fever,Influenza,N/A,N/A,N/A
joint pain,chest pain,shortness of breath,cough,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
chills,body ache,nausea,joint pain,fever,Malaria,Chloroquine,Artemether,Primaquine
shortness of breath,fever,loss of appetite,cough,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sore throat,runny nose,sneezing,cough,loss of appetite,Common Cold,Antihistamines,Decongestants,Rest & Fluids
congestion,sneezing,itchy eyes,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
shortness of breath,fever,cough,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
diarrhea,nausea,vomiting,fever,,Gastroenteritis,N/A,N/A,N/A
fever,shortness of breath,loss of appetite,body ache,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
shortness of breath,body ache,chest pain,cough,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
rash,runny nose,dizziness,congestion,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,loss of appetite,cough,shortness of breath,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
cough,shortness of breath,fever,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,chills,fever,body ache,nausea,Malaria,Chloroquine,Artemether,Primaquine
headache,runny nose,sore throat,congestion,dizziness,Sinusitis,N/A,N/A,N/A
nausea,body ache,vomiting,fever,chills,Malaria,Chloroquine,Artemether,Primaquine
nausea,vomiting,blurred vision,diarrhea,runny nose,Gastroenteritis,N/A,N/A,N/A
rash,fever,headache,diarrhea,joint pain,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,headache,vomiting,blurred vision,,Migraine,N/A,N/A,N/A
diarrhea,fever,vomiting,congestion,nausea,Gastroenteritis,N/A,N/A,N/A
fever,headache,joint pain,rash,sore throat,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,congestion,sneezing,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
sneezing,runny nose,rash,loss of appetite,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
shortness of breath,fever,cough,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
vomiting,diarrhea,nausea,fever,runny nose,Gastroenteritis,N/A,N/A,N/A
sore throat,nausea,runny nose,cough,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,nausea,vomiting,diarrhea,,Gastroenteritis,N/A,N/A,N/A
cough,fever,shortness of breath,headache,blurred vision,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,loss of appetite,fatigue,shortness of breath,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
chills,body ache,fever,headache,joint pain,Influenza,N/A,N/A,N/A
joint pain,headache,vomiting,nausea,cough,Migraine,N/A,N/A,N/A
cough,blurred vision,loss of appetite,fatigue,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,itchy eyes,chills,congestion,blurred vision,Allergic Rhinitis,N/A,N/A,N/A
sneezing,itchy eyes,headache,runny nose,shortness of breath,Allergic Rhinitis,N/A,N/A,N/A
headache,sore throat,congestion,runny nose,,Sinusitis,N/A,N/A,N/A
chest pain,rash,sneezing,joint pain,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
loss of appetite,sneezing,cough,sore throat,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,chest pain,itchy eyes,sneezing,congestion,Allergic Rhinitis,N/A,N/A,N/A
fever,shortness of breath,loss of appetite,chest pain,cough,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,headache,congestion,sore throat,,Sinusitis,N/A,N/A,N/A
itchy eyes,runny nose,sneezing,congestion,,Allergic Rhinitis,N/A,N/A,N/A
fatigue,chills,headache,body ache,fever,Influenza,N/A,N/A,N/A
rash,shortness of breath,headache,joint pain,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,sneezing,itchy eyes,congestion,,Allergic Rhinitis,N/A,N/A,N/A
headache,nausea,congestion,runny nose,sneezing,Sinusitis,N/A,N/A,N/A
shortness of breath,blurred vision,fatigue,fever,runny nose,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,vomiting,nausea,diarrhea,,Gastroenteritis,N/A,N/A,N/A
headache,fever,rash,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sneezing,sore throat,congestion,runny nose,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
cough,fatigue,fever,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
congestion,runny nose,sore throat,headache,,Sinusitis,N/A,N/A,N/A
loss of appetite,dizziness,headache,rash,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
congestion,runny nose,sneezing,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
loss of appetite,sore throat,congestion,runny nose,headache,Sinusitis,N/A,N/A,N/A
blurred vision,nausea,headache,vomiting,,Migraine,N/A,N/A,N/A
body ache,fever,fatigue,shortness of breath,chills,Influenza,N/A,N/A,N/A
loss of appetite,cough,fever,shortness of breath,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,itchy eyes,runny nose,chills,fatigue,Allergic Rhinitis,N/A,N/A,N/A
shortness of breath,cough,fever,loss of appetite,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
vomiting,headache,blurred vision,nausea,,Migraine,N/A,N/A,N/A
sneezing,itchy eyes,runny nose,congestion,,Allergic Rhinitis,N/A,N/A,N/A
loss of appetite,fever,shortness of breath,cough,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,vomiting,headache,cough,nausea,Migraine,N/A,N/A,N/A
rash,joint pain,headache,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
rash,headache,joint pain,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
joint pain,headache,rash,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
blurred vision,sneezing,headache,nausea,shortness of breath,Migraine,N/A,N/A,N/A
shortness of breath,cough,chest pain,fatigue,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
body ache,headache,fever,fatigue,chills,Influenza,N/A,N/A,N/A
shortness of breath,chest pain,cough,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
sore throat,sneezing,congestion,cough,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
chills,vomiting,body ache,nausea,fever,Malaria,Chloroquine,Artemether,Primaquine
cough,chest pain,sore throat,shortness of breath,fever,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,vomiting,nausea,diarrhea,fever,Gastroenteritis,N/A,N/A,N/A
vomiting,chills,nausea,diarrhea,fever,Gastroenteritis,N/A,N/A,N/A
nausea,blurred vision,headache,runny nose,vomiting,Migraine,N/A,N/A,N/A
fever,body ache,nausea,fatigue,chills,Influenza,N/A,N/A,N/A
runny nose,loss of appetite,cough,sore throat,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,loss of appetite,chills,body ache,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,cough,joint pain,rash,headache,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,vomiting,loss of appetite,chills,nausea,Malaria,Chloroquine,Artemether,Primaquine
fever,fatigue,headache,body ache,chills,Influenza,N/A,N/A,N/A
vomiting,body ache,fever,chills,nausea,Malaria,Chloroquine,Artemether,Primaquine
chest pain,shortness of breath,cough,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
chest pain,diarrhea,vomiting,nausea,fever,Gastroenteritis,N/A,N/A,N/A
headache,fever,vomiting,fatigue,chills,Influenza,N/A,N/A,N/A
joint pain,headache,fever,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,chest pain,fever,shortness of breath,nausea,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,headache,sore throat,runny nose,,Sinusitis,N/A,N/A,N/A
headache,vomiting,nausea,blurred vision,sneezing,Migraine,N/A,N/A,N/A
runny nose,blurred vision,sore throat,rash,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
shortness of breath,fatigue,congestion,loss of appetite,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,fever,chest pain,shortness of breath,cough,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
diarrhea,fever,nausea,vomiting,,Gastroenteritis,N/A,N/A,N/A
chills,vomiting,nausea,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
chills,sore throat,body ache,vomiting,nausea,Malaria,Chloroquine,Artemether,Primaquine
chills,headache,nausea,fatigue,loss of appetite,Influenza,N/A,N/A,N/A
sneezing,vomiting,headache,shortness of breath,blurred vision,Migraine,N/A,N/A,N/A
nausea,vomiting,cough,diarrhea,sneezing,Gastroenteritis,N/A,N/A,N/A
diarrhea,congestion,chest pain,sore throat,headache,Sinusitis,N/A,N/A,N/A
congestion,rash,itchy eyes,runny nose,sneezing,Allergic Rhinitis,N/A,N/A,N/A
fever,vomiting,nausea,diarrhea,,Gastroenteritis,N/A,N/A,N/A
fever,sore throat,fatigue,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
runny nose,congestion,itchy eyes,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
runny nose,sneezing,congestion,cough,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,rash,congestion,headache,joint pain,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
rash,headache,joint pain,fatigue,cough,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
rash,fever,headache,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
chills,fever,body ache,fatigue,dizziness,Influenza,N/A,N/A,N/A
chills,body ache,runny nose,fever,sneezing,Influenza,N/A,N/A,N/A
nausea,vomiting,chest pain,fever,body ache,Malaria,Chloroquine,Artemether,Primaquine
vomiting,headache,rash,fever,joint pain,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
rash,headache,joint pain,fever,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
runny nose,chills,headache,sore throat,congestion,Sinusitis,N/A,N/A,N/A
fever,loss of appetite,shortness of breath,headache,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
diarrhea,fever,nausea,vomiting,,Gastroenteritis,N/A,N/A,N/A
body ache,fatigue,fever,headache,chills,Influenza,N/A,N/A,N/A
sneezing,fever,sore throat,cough,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
cough,fatigue,blurred vision,loss of appetite,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
body ache,headache,chills,fever,fatigue,Influenza,N/A,N/A,N/A
congestion,runny nose,sore throat,headache,,Sinusitis,N/A,N/A,N/A
vomiting,nausea,diarrhea,fever,,Gastroenteritis,N/A,N/A,N/A
runny nose,sneezing,congestion,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
cough,shortness of breath,fever,fatigue,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,fever,body ache,dizziness,vomiting,Malaria,Chloroquine,Artemether,Primaquine
congestion,itchy eyes,sneezing,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
itchy eyes,sneezing,congestion,shortness of breath,runny nose,Allergic Rhinitis,N/A,N/A,N/A
sneezing,cough,runny nose,sore throat,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,nausea,body ache,fever,chills,Malaria,Chloroquine,Artemether,Primaquine
rash,headache,fever,joint pain,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
headache,runny nose,cough,sneezing,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
sore throat,fever,loss of appetite,vomiting,diarrhea,Gastroenteritis,N/A,N/A,N/A
congestion,sneezing,runny nose,itchy eyes,,Allergic Rhinitis,N/A,N/A,N/A
chills,fatigue,headache,body ache,fever,Influenza,N/A,N/A,N/A
fatigue,fever,cough,loss of appetite,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,congestion,runny nose,fever,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
loss of appetite,fever,body ache,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
nausea,headache,chills,body ache,fever,Malaria,Chloroquine,Artemether,Primaquine
joint pain,headache,fever,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
sore throat,runny nose,congestion,nausea,headache,Sinusitis,N/A,N/A,N/A
fever,body ache,chills,runny nose,fatigue,Influenza,N/A,N/A,N/A
joint pain,fever,headache,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,body ache,fever,chills,vomiting,Malaria,Chloroquine,Artemether,Primaquine
nausea,fever,chills,vomiting,body ache,Malaria,Chloroquine,Artemether,Primaquine
congestion,runny nose,itchy eyes,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
vomiting,chills,chest pain,nausea,headache,Migraine,N/A,N/A,N/A
runny nose,sneezing,congestion,body ache,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
chills,body ache,headache,fever,fatigue,Influenza,N/A,N/A,N/A
cough,fever,shortness of breath,chest pain,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,body ache,headache,cough,chills,Influenza,N/A,N/A,N/A
headache,chills,body ache,fatigue,fever,Influenza,N/A,N/A,N/A
fever,shortness of breath,chest pain,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
vomiting,nausea,blurred vision,headache,sore throat,Migraine,N/A,N/A,N/A
cough,runny nose,sneezing,congestion,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
joint pain,headache,runny nose,sore throat,congestion,Sinusitis,N/A,N/A,N/A
sneezing,diarrhea,runny nose,itchy eyes,congestion,Allergic Rhinitis,N/A,N/A,N/A
blurred vision,headache,vomiting,runny nose,nausea,Migraine,N/A,N/A,N/A
headache,congestion,runny nose,sore throat,,Sinusitis,N/A,N/A,N/A
congestion,joint pain,itchy eyes,sneezing,runny nose,Allergic Rhinitis,N/A,N/A,N/A
headache,congestion,sneezing,runny nose,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
cough,loss of appetite,shortness of breath,fever,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,vomiting,shortness of breath,body ache,chills,Malaria,Chloroquine,Artemether,Primaquine
chest pain,cough,fever,shortness of breath,diarrhea,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,congestion,headache,cough,sore throat,Sinusitis,N/A,N/A,N/A
runny nose,sneezing,itchy eyes,congestion,,Allergic Rhinitis,N/A,N/A,N/A
shortness of breath,fatigue,loss of appetite,cough,vomiting,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
fever,nausea,chills,vomiting,dizziness,Malaria,Chloroquine,Artemether,Primaquine
runny nose,itchy eyes,congestion,blurred vision,sneezing,Allergic Rhinitis,N/A,N/A,N/A
loss of appetite,congestion,cough,shortness of breath,fever,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
cough,fever,shortness of breath,fatigue,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sneezing,cough,fever,shortness of breath,chest pain,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
congestion,blurred vision,chest pain,runny nose,sneezing,Allergic Rhinitis,N/A,N/A,N/A
shortness of breath,cough,chest pain,fever,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
fever,cough,loss of appetite,fatigue,shortness of breath,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
blurred vision,itchy eyes,sneezing,runny nose,congestion,Allergic Rhinitis,N/A,N/A,N/A
nausea,vomiting,fever,diarrhea,,Gastroenteritis,N/A,N/A,N/A
joint pain,fever,chest pain,headache,rash,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
vomiting,nausea,headache,blurred vision,,Migraine,N/A,N/A,N/A
joint pain,headache,fever,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
fever,fatigue,headache,body ache,chills,Influenza,N/A,N/A,N/A
runny nose,congestion,headache,vomiting,sore throat,Sinusitis,N/A,N/A,N/A
cough,fever,loss of appetite,shortness of breath,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
itchy eyes,congestion,runny nose,sneezing,,Allergic Rhinitis,N/A,N/A,N/A
fever,nausea,diarrhea,vomiting,,Gastroenteritis,N/A,N/A,N/A
fatigue,fever,headache,body ache,chills,Influenza,N/A,N/A,N/A
headache,congestion,joint pain,rash,fever,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
cough,sneezing,runny nose,congestion,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
headache,nausea,vomiting,blurred vision,,Migraine,N/A,N/A,N/A
fatigue,diarrhea,body ache,chest pain,headache,Influenza,N/A,N/A,N/A
cough,loss of appetite,congestion,sneezing,sore throat,Common Cold,Antihistamines,Decongestants,Rest & Fluids
vomiting,headache,nausea,blurred vision,,Migraine,N/A,N/A,N/A
runny nose,fatigue,cough,congestion,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
sore throat,runny nose,congestion,headache,,Sinusitis,N/A,N/A,N/A
cough,sneezing,sore throat,runny nose,congestion,Common Cold,Antihistamines,Decongestants,Rest & Fluids
sore throat,vomiting,nausea,headache,blurred vision,Migraine,N/A,N/A,N/A
chills,headache,fatigue,chest pain,body ache,Influenza,N/A,N/A,N/A
cough,loss of appetite,fever,shortness of breath,fatigue,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
sore throat,cough,sneezing,congestion,runny nose,Common Cold,Antihistamines,Decongestants,Rest & Fluids
runny nose,congestion,sneezing,vomiting,itchy eyes,Allergic Rhinitis,N/A,N/A,N/A
chest pain,shortness of breath,fever,cough,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
runny nose,diarrhea,sneezing,itchy eyes,congestion,Allergic Rhinitis,N/A,N/A,N/A
blurred vision,headache,nausea,vomiting,body ache,Migraine,N/A,N/A,N/A
vomiting,diarrhea,nausea,fever,,Gastroenteritis,N/A,N/A,N/A
congestion,sore throat,blurred vision,headache,cough,Sinusitis,N/A,N/A,N/A
shortness of breath,loss of appetite,headache,fatigue,sneezing,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
nausea,fever,diarrhea,vomiting,,Gastroenteritis,N/A,N/A,N/A
runny nose,sneezing,congestion,sore throat,nausea,Common Cold,Antihistamines,Decongestants,Rest & Fluids
blurred vision,nausea,vomiting,headache,,Migraine,N/A,N/A,N/A
fever,chills,nausea,body ache,vomiting,Malaria,Chloroquine,Artemether,Primaquine
fever,fatigue,loss of appetite,shortness of breath,cough,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
joint pain,headache,fever,rash,,Dengue,Acetaminophen,IV Fluids,Platelet Transfusion
nausea,fever,diarrhea,vomiting,,Gastroenteritis,N/A,N/A,N/A
fever,vomiting,nausea,shortness of breath,diarrhea,Gastroenteritis,N/A,N/A,N/A
body ache,chills,fever,headache,fatigue,Influenza,N/A,N/A,N/A
chills,body ache,headache,rash,fever,Influenza,N/A,N/A,N/A
loss of appetite,sore throat,congestion,runny nose,cough,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fatigue,cough,shortness of breath,fever,loss of appetite,COVID-19,Paracetamol,Azithromycin,Rest & Hydration
chills,congestion,headache,runny nose,sore throat,Sinusitis,N/A,N/A,N/A
fever,diarrhea,nausea,vomiting,,Gastroenteritis,N/A,N/A,N/A
vomiting,fever,body ache,nausea,chills,Malaria,Chloroquine,Artemether,Primaquine
diarrhea,fever,nausea,vomiting,,Gastroenteritis,N/A,N/A,N/A
nausea,fever,cough,vomiting,diarrhea,Gastroenteritis,N/A,N/A,N/A
congestion,sneezing,itchy eyes,runny nose,,Allergic Rhinitis,N/A,N/A,N/A
blurred vision,vomiting,headache,nausea,,Migraine,N/A,N/A,N/A
sore throat,runny nose,cough,congestion,sneezing,Common Cold,Antihistamines,Decongestants,Rest & Fluids
fever,diarrhea,sneezing,body ache,fatigue,Influenza,N/A,N/A,N/A
cough,fever,chest pain,shortness of breath,,Pneumonia,Amoxicillin,Clarithromycin,Oxygen Therapy
headache,vomiting,rash,nausea,blurred vision,Migraine,N/A,N/A,N/A
itchy eyes,blurred vision,sneezing,congestion,runny nose,Allergic Rhinitis,N/A,N/A,N/A
chills,nausea,body ache,fever,vomiting,Malaria,Chloroquine,Artemether,Primaquine
nausea,vomiting,fever,body ache,chills,Malaria,Chloroquine,Artemether,Primaquine
headache,chills,fatigue,body ache,fever,Influenza,N/A,N/A,N/A
